caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token
false,10,UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,14340,xxNoneFoundxx,hd,"Kodak Black - If I'm Lyin, I'm Flyin
Stream/Download: https://Kodak.lnk.to/IfImLyinImFlyin

Subscribe for more official content from Kodak Black:
https://Atlantic.lnk.to/KBsubscribe

Follow Kodak Black
https://twitter.com/KodakBlack1k
https://facebook.com/TheRealKodakBlack
https://instagram.com/kodakblack
https://soundcloud.com/kodak-black
https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7

The official YouTube channel of Atlantic Records artist Kodak Black. Subscribe for the latest music videos, performances, and more.",2d,3558,PT3M1S,0,True,218336,none,rectangular,2018-09-28T04:00:08.000Z,,"['kodak', 'black', 'kodak black', 'atlantic records', 'atlantic', 'roll in peace', 'codeine dreaming', 'tunnel vision', 'drowning', 'transportin', 'heart break kodak', 'project baby 2', 'rap', 'hip hop', 'kodak black tunnel vision', 'kodak black new song', 'kodak black roll in peace', 'if im lying im flying', ""kodak black if i'm lying i'm flying [official video]"", ""kodak black if i'm lying i'm flying"", 'official video', 'if im lyin im flyin', 'if im lying im flying video']","Kodak Black - If I'm Lyin, I'm Flyin [Official Video]",zcWqllTtns4,4488394,CDIQAA
true,10,UCrFB54bqp8sda4udJyNswlA,DJKhaledVEVO,365508,xxNoneFoundxx,hd,"""Grateful"" Available at  iTunes http://smarturl.it/GRATEFUL_iTunes
 Apple Music http://smarturl.it/GRATEFUL_AM
 Spotify  http://smarturl.it/GRATEFUL_Sptfy

https://twitter.com/djkhaled
https://www.instagram.com/djkhaled/
https://www.facebook.com/officialdjkhaled/

(C) 2017 Epic Records, a division of Sony Music Entertainment",2d,583597,PT5M22S,0,True,6441616,none,rectangular,2017-04-28T10:00:04.000Z,"{'allowed': ['MR', 'MS', 'MP', 'MQ', 'MV', 'MW', 'MT', 'MU', 'MZ', 'MX', 'MY', 'UG', 'UZ', 'MC', 'MA', 'MF', 'MG', 'MD', 'ME', 'MK', 'MH', 'MN', 'MO', 'ML', 'MM', 'FK', 'FJ', 'FI', 'UM', 'FO', 'GN', 'FM', 'FR', 'NZ', 'UA', 'NR', 'NP', 'NU', 'NI', 'NO', 'NL', 'NC', 'NA', 'NG', 'NF', 'NE', 'CU', 'KH', 'KI', 'CR', 'KM', 'KN', 'CW', 'CX', 'CY', 'CZ', 'KE', 'KG', 'VC', 'CA', 'KZ', 'CC', 'CD', 'CF', 'CG', 'CH', 'CI', 'KR', 'CK', 'CL', 'CM', 'CN', 'KW', 'SA', 'SB', 'SC', 'SD', 'SE', 'SG', 'SH', 'SI', 'SJ', 'SK', 'SL', 'SM', 'SN', 'SO', 'SR', 'SS', 'ST', 'SV', 'US', 'SX', 'SY', 'SZ', 'VU', 'LT', 'GT', 'DZ', 'KY', 'LV', 'VA', 'DK', 'DJ', 'DM', 'DO', 'VG', 'DE', 'TH', 'LS', 'LR', 'LU', 'TL', 'TO', 'TN', 'LY', 'TC', 'TD', 'TG', 'TF', 'LA', 'KP', 'LC', 'TZ', 'LI', 'LK', 'TR', 'TT', 'TW', 'TV', 'IN', 'AW', 'AT', 'AU', 'AR', 'AS', 'AQ', 'ID', 'IE', 'AZ', 'AX', 'UY', 'AF', 'AG', 'AD', 'LB', 'VI', 'AO', 'AL', 'CO', 'IR', 'IS', 'AI', 'QA', 'BZ', 'BY', 'BW', 'BV', 'YT', 'BT', 'BS', 'BR', 'BQ', 'BO', 'BN', 'BM', 'BL', 'BJ', 'BI', 'BH', 'BG', 'BF', 'BE', 'YE', 'BB', 'BA', 'RO', 'IO', 'RE', 'IL', 'VN', 'JE', 'IM', 'RW', 'JM', 'RS', 'GD', 'GE', 'GF', 'GG', 'GA', 'ZA', 'GL', 'GM', 'ZM', 'GH', 'GI', 'ZW', 'GU', 'GW', 'GP', 'GQ', 'GR', 'GS', 'PH', 'GY', 'OM', 'HM', 'HN', 'HK', 'BD', 'JP', 'WF', 'AE', 'GB', 'HU', 'HT', 'HR', 'PE', 'PG', 'PF', 'PA', 'PM', 'PL', 'PN', 'TM', 'PK', 'PT', 'PW', 'PS', 'PR', 'TK', 'PY', 'IT', 'JO', 'AM', 'ER', 'ES', 'WS', 'CV', 'ET', 'EH', 'RU', 'VE', 'TJ', 'EC', 'IQ', 'EG', 'EE']}","['we the best', 'epic', 'assad', 'assad khaled', 'major key', 'do you mind', 'justin bieber', 'chance', 'chance the rapper', 'lil chano', 'lil chano from the 79th', 'quavo', 'lil wayne', 'Khaled Mohamed Khaled', 'khaled khaled', 'roc nation', 'shining', 'all i do is win', 'hip hop', 'rap', 'DJ', 'r&b', 'Another One', 'Holy Key', 'For Free', 'DJ Khaled hit', 'DJ Khaled song', 'DJ Khaled music', 'asahd', 'asahd khaled', 'DJ Khaled feat. Justin Bieber', 'Quavo', 'Chance the Rapper & Lil Wayne', 'Epic/We The Best']","DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",weeI1G46q0o,1108803236,CDIQAA
false,10,UCmdY1pHB-KbFYxOyhwjVeQw,MattyBRaps,141349,xxNoneFoundxx,hd,"AVAILABLE ON ITUNES:  https://itunes.apple.com/us/album/right-now-im-missing-you-feat-brooke-adee-single/id1220748469

Hi BBoys & BGirls!  Hope you enjoy watching the official music video for MattyB's new single, ""Right Now I'm Missing You"" featuring Brooke Adee,  a Top 20 finalist on ""The Voice!""  Special video guest feature by Jojo Siwa of ""Dance Moms!""  

If you like this song and want to help support MattyB's music, it's easy!  Simply LIKE, FAVORITE, COMMENT and SHARE this video with your friends on Facebook, Twitter and everywhere else you hang out online!  iTunes link coming soon!

Keep following your dreams!

OFFICIAL MATTYB LINKS

MattyB Gear Store
http://MattyB.Spreadshirt.com

Main Channel
http://www.MattyBRaps.com

Vlog Channel
http://www.YouTube.com/MattyBVlogs

Twitter
http://www.Twitter.com/MattyBRaps

Facebook
http://www.Facebook.com/MattyBRaps

OFFICIAL BROOKE ADEE LINKS

YouTube
https://www.YouTube.com/user/cupiecakegirl123

Twitter
http://www.Twitter.com/AdeeBrooke

Instagram
http://Instagram.com/BrookeAdee

OFFICIAL JOJO SIWA LINKS

YouTube
https://www.youtube.com/channel/UCeV2O_6QmFaaKBZHY3bJgsA

Facebook
https://www.Facebook.com/itsjojosiwa

Twitter
https://Twitter.com/itsjojosiwa

Instagram
https://Instagram.com/itsjojosiwa

LYRICS

Yo, How could I ever regret
The moment when we first met
Something I could never forget
I met a crazy beautiful girl right?
Who was just my type
So I tried to play the part
Tried to play to start
Hit it off on the first date
Though I admit I was nervous
To meet somebody that made me feel that way
Wanted to keep it cool
But coming off like a fool
And pinching myself for all of the things I’d say
I saw it coming from a mile away
I couldn’t stop it, It was just too late
Cause when you love somebody
Sometimes you’ve gotta be willing to let them go
Or at least sit back and wait
I really hope that we can be friends
But I don’t wanna live in the pretend
She started crying trying to defend
What can I say
She was my first love
And I imagined we would be together forever
But now I’m the source of a heart break

I can’t eat
cause i only want you
I can’t sleep
I keep dreaming bout you
I can’t think
I’ll be thinking bout you, bout you
Right now i’m missing you

All alone sitting up in my room
Holding my phone, just thinking bout you
And I wonder if your out there thinking bout me
It’s been a week since you went away
Told me it’s over and you needed your space
I put my heart in your hands and you threw it away 
But now I’m missing you

I can’t eat
cause i only want you
I can’t sleep
I keep dreaming bout you
I can’t think
I’ll be thinking bout you, bout you
Right now i’m missing you
(repeat)

Look, I never knew the right words to say
Hat in my hand since you walked away
Trying to cope but can’t take the pain
Wishing I could hear you say my name
Wishing I could take back it all
Is it too late for me to call
Cause I could have anything in this world I choose
But baby girl right now I’m missing you, MB

I can’t eat
cause i only want you
I can’t sleep
I keep dreaming bout you
I can’t think
I’ll be thinking bout you, bout you
Right now i’m missing you

I can’t eat
cause i only want you
I can’t sleep
I keep dreaming bout you
I can’t think
I’ll be thinking bout you, bout you
Right now i’m missing you",2d,113069,PT3M33S,0,True,1034319,none,rectangular,2015-08-04T23:20:46.000Z,,"[""Right Now I'm Missing You"", 'MattyB', 'MattyBRaps', 'Missing You', 'Brooke Adee', 'JoJo Siwa', 'Top 40', 'New Music', 'Pop', 'Hip Hop', 'Rap', 'Pop Music', 'music', 'boyfriend', 'girlfriend', 'break up', 'breakup', 'jojo', 'matty b', 'lyrics', 'lyric video', 'mattyb lyrics', 'dance moms', 'dance', 'sing', 'song', 'singer', 'singing', 'rap', 'rapper', 'rapping', 'best', 'cute', 'adorable', 'relationship', 'teen', 'teens', 'kid', 'kids', 'moment', 'handsome', 'funny', 'sad', 'crying', 'cry', 'original song', 'single', 'heart', 'heart break', 'story', 'upset', 'Him', 'Original', 'Laughing', 'Acoustic', 'Artist', 'Songwriter']",MattyBRaps - Right Now I'm Missing You (ft. Brooke Adee),0bb5esIKH5o,169258698,CDIQAA
true,10,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,99706,en,hd,Music video by Drake performing I'm Upset. © 2018 Young Money Entertainment/Cash Money Records,2d,81739,PT6M31S,0,True,832054,none,rectangular,2018-06-14T03:25:37.000Z,"{'allowed': ['AZ', 'AX', 'YE', 'AR', 'AS', 'AQ', 'AW', 'AT', 'AU', 'AI', 'CO', 'AO', 'AL', 'AF', 'AG', 'AD', 'AE', 'IR', 'IS', 'PG', 'IQ', 'PA', 'MC', 'IT', 'PM', 'PL', 'PN', 'PH', 'PK', 'PT', 'PW', 'PS', 'IE', 'IN', 'IL', 'IM', 'RU', 'FR', 'FO', 'FM', 'FK', 'FJ', 'FI', 'KN', 'TR', 'KR', 'NU', 'NR', 'QA', 'NZ', 'NG', 'NF', 'NE', 'NC', 'TD', 'NA', 'NO', 'NL', 'NI', 'GY', 'GT', 'GU', 'GW', 'GQ', 'GR', 'GS', 'GM', 'GN', 'GH', 'GI', 'GD', 'GE', 'GF', 'GG', 'GA', 'GB', 'VN', 'VG', 'VE', 'VC', 'VA', 'SC', 'OM', 'VU', 'PE', 'SD', 'TV', 'PF', 'ML', 'EC', 'LY', 'DE', 'MX', 'DK', 'DJ', 'DM', 'LT', 'DO', 'LV', 'LI', 'LK', 'LA', 'LC', 'DZ', 'WS', 'MU', 'EH', 'EG', 'EE', 'MZ', 'TT', 'TW', 'MY', 'MV', 'MW', 'MT', 'TZ', 'MR', 'MS', 'MP', 'MQ', 'MN', 'MO', 'TC', 'MM', 'ER', 'MK', 'TG', 'TF', 'MF', 'TH', 'MD', 'ME', 'TM', 'TL', 'TO', 'MA', 'BS', 'BR', 'BQ', 'BW', 'MH', 'BT', 'BZ', 'BB', 'BA', 'HN', 'BG', 'BE', 'MG', 'BJ', 'BI', 'BH', 'BO', 'TK', 'BM', 'BL', 'TJ', 'JO', 'US', 'JM', 'PY', 'SG', 'JE', 'UY', 'UG', 'UA', 'JP', 'LS', 'CY', 'CR', 'LR', 'CU', 'CV', 'CW', 'CX', 'LU', 'CZ', 'CA', 'CC', 'CD', 'CF', 'CG', 'CH', 'CI', 'ID', 'CL', 'CM', 'CN', 'BV', 'KH', 'KI', 'CK', 'KM', 'RE', 'RO', 'KE', 'KG', 'RS', 'KY', 'KZ', 'RW', 'ZM', 'WF', 'ZA', 'ZW', 'KW', 'ET', 'BD', 'HU', 'ES', 'HT', 'HM', 'SA', 'SB', 'LB', 'YT', 'SE', 'HK', 'TN', 'SH', 'SI', 'SJ', 'SK', 'SL', 'SM', 'SN', 'SO', 'SR', 'ST', 'SV', 'SX', 'SY', 'SZ', 'HR']}","['Drake', ""I'm"", 'Upset', 'Young', 'Money', 'Entertainment', 'Cash', 'Records/', 'Republic', 'Records', 'Rap']",Drake - I'm Upset,rIhx2wZ8jnA,77112522,CDIQAA
false,10,UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,254040,xxNoneFoundxx,sd,"Playlist Best of Eminem: https://goo.gl/AquNpo
Subscribe for more: https://goo.gl/DxCrDV

Music video by Eminem performing When I'm Gone. (C) 2005 Aftermath Entertainment/Interscope Records",2d,102281,PT6M9S,0,True,3441833,none,rectangular,2009-06-17T00:23:36.000Z,,"['Eminem', 'Aftermath', 'Hip', 'Hop']",Eminem - When I'm Gone,1wYNFfgrXTI,670690109,CDIQAA
true,10,UC0sL86jDLgs2fGRD-XBnPQA,50CentVEVO,30415,xxNoneFoundxx,hd,"Listen to Chris Brown's remix of 50 Cent's hit song, ""I'm The Man"".

Download the song : http://smarturl.it/50ImTheManRmx
Stream the song: http://smarturl.it/50ImTheManRmx_Stream

Best of 50 Cent: https://goo.gl/PgrRic
Subscribe here: https://goo.gl/o954jF

http://vevo.ly/9L0CsR",2d,49388,PT4M34S,0,True,816361,none,rectangular,2016-05-06T12:00:01.000Z,,"['50', 'Cent', 'I’m', 'The', 'Man', '(Remix)', '(Explicit)', 'Capitol', 'Records', 'Rap/Hip-Hop']",50 Cent - I'm The Man ft. Chris Brown,ZB7Xjd34pjo,124701804,CDIQAA
false,10,UCf3cbfAXgPFL6OywH7JwOzA,MeghanTrainorVEVO,451027,xxNoneFoundxx,hd,"Meghan Trainor's official music video for 'All About That Bass'. Click to listen to Meghan Trainor on Spotify: http://smarturl.it/MegTSpotify?IQid=M...

As featured on Title. Click to buy the track or album via iTunes: http://smarturl.it/MTTitleiTunes?IQid...
Google Play: http://smarturl.it/MTThatBassPlay?IQi...
Amazon: http://smarturl.it/MTTitleAz?IQid=MTr...

More from Meghan Trainor
Dear Future Husband: https://youtu.be/ShlW5plD_40
Like I'm Gonna Lose You: https://youtu.be/2-MBfn8XjIU
Lips Are Movin: https://youtu.be/qDc_5zpBj7s

More great global hits videos here: http://smarturl.it/GlobalHits?IQid=MT...

Follow Meghan Trainor
Website: http://www.meghan-trainor.com/
Facebook: https://www.facebook.com/meghantraino...
Twitter: https://twitter.com/meghan_trainor
Instagram: https://instagram.com/meghan_trainor

Subscribe to Meghan Trainor on YouTube: http://smarturl.it/MeghanTSub?IQid=MT...

Choreographed by: Charm La’ Donna

---------

Lyrics:

Because you know I'm all about that bass
'Bout that bass, no treble
I'm all about that bass
'Bout that bass, no treble
I'm all about that bass
'Bout that bass, no treble
I'm all about that bass
'Bout that bass... bass... bass... bass

Yeah, it's pretty clear, I ain't no size two
But I can shake it, shake it, like I'm supposed to do
'Cause I got that boom boom that all the boys chase
And all the right junk in all the right places

I see the magazine workin' that Photoshop
We know that shit ain't real, come on now, make it stop
If you got beauty, beauty, just raise 'em up
'Cause every inch of you is perfect from the bottom to the top

Yeah, my mama she told me don't worry about your size
(Shoo wop wop, sha-ooh wop wop)
She says, Boys like a little more booty to hold at night
(That booty, uh, that booty booty)
You know I won't be no stick figure silicone Barbie doll
So if that what you're into, then go 'head and move along""",2d,778449,PT3M10S,0,True,6653153,none,rectangular,2014-06-11T14:00:07.000Z,"{'allowed': ['QA', 'NZ', 'NU', 'NR', 'LI', 'NP', 'NO', 'NL', 'NI', 'NF', 'NG', 'NE', 'NC', 'NA', 'MX', 'FO', 'FM', 'FJ', 'FK', 'FI', 'FR', 'VU', 'OM', 'VG', 'VE', 'VC', 'VA', 'VN', 'VI', 'GE', 'GD', 'GG', 'GF', 'GA', 'GB', 'GM', 'GL', 'GN', 'GI', 'GH', 'GU', 'GT', 'GW', 'GQ', 'GP', 'GS', 'GR', 'GY', 'SY', 'HM', 'HN', 'SZ', 'HK', 'SS', 'SR', 'ST', 'SV', 'SI', 'SH', 'SK', 'SJ', 'SM', 'SL', 'SO', 'SN', 'HT', 'HU', 'SC', 'SB', 'SE', 'SD', 'HR', 'IN', 'AU', 'AT', 'AZ', 'MM', 'AS', 'PE', 'AQ', 'PG', 'IO', 'PA', 'IM', 'IL', 'PL', 'PM', 'PN', 'AX', 'PH', 'IE', 'ID', 'PT', 'PW', 'AG', 'AF', 'AE', 'AD', 'IS', 'IR', 'AI', 'PK', 'AO', 'PY', 'AM', 'AL', 'PF', 'TM', 'YT', 'MT', 'AW', 'MS', 'YE', 'TT', 'PR', 'UY', 'JE', 'PS', 'US', 'JO', 'JM', 'UM', 'UG', 'IQ', 'UA', 'BJ', 'BH', 'BI', 'BN', 'ZW', 'BL', 'BM', 'BB', 'BA', 'BF', 'BG', 'BD', 'BE', 'BZ', 'BY', 'MY', 'MP', 'BR', 'BS', 'BQ', 'BV', 'BW', 'BT', 'ZM', 'TR', 'KE', 'KG', 'KI', 'KH', 'KM', 'RW', 'IT', 'KN', 'KP', 'KR', 'RO', 'KW', 'KY', 'KZ', 'RE', 'CI', 'CH', 'CK', 'MQ', 'CM', 'CL', 'CO', 'CN', 'CA', 'CC', 'CD', 'CG', 'CF', 'CY', 'CX', 'CZ', 'SX', 'MA', 'JP', 'CR', 'CU', 'CW', 'CV', 'LY', 'UZ', 'BO', 'WS', 'LR', 'LS', 'LT', 'LU', 'LV', 'SA', 'RU', 'LK', 'LA', 'LB', 'LC', 'DE', 'DJ', 'DK', 'DM', 'DO', 'AR', 'SG', 'RS', 'DZ', 'WF', 'MG', 'MF', 'ME', 'MD', 'MC', 'TV', 'TW', 'MO', 'MN', 'TZ', 'ML', 'MK', 'MH', 'MW', 'MV', 'MU', 'TC', 'TD', 'MR', 'TF', 'TG', 'TH', 'TJ', 'TK', 'TL', 'MZ', 'TN', 'TO', 'EH', 'EG', 'EE', 'EC', 'ZA', 'ET', 'ES', 'ER']}","['Meghan Trainor', 'MeghanTrainorvevo', 'acoustic', 'music', 'Meghan Trainor official', 'instrumental', 'video', 'Meghan Trainor All About That Bass live', 'Meghan Trainor live', 'Meghan Trainor All About That Bass karaoke', 'pop', 'vevo', 'Meghan Trainor All About That Bass instrumental', 'Meghan Trainor All About That Bass lyrics', 'Title EP', 'Title', 'official', 'No', 'download', 'Me Too', 'meghan trainor all about that bass parody', 'Dear Future Husband', 'karaoke', 'Better', 'When', 'Im']",Meghan Trainor - All About That Bass,7PCkvCPvDXk,2227064426,CDIQAA
false,10,UCSpE7jrokfnEaVb7Ujf-hYQ,Les Patapons,4132,fr,hd,"La Fourmi m'a Piqué la Main. Comptine pour bébés et petits enfants.
http://www.lespatapons.fr/

PAROLES:
La fourmi m'a piqué la main
La coquine, la coquine
La fourmi m'a piqué la main
La coquine elle avait faim

L'araignée m'a piqué le nez
La coquine, la coquine
L'araignée m'a piqué le nez
La coquine elle était fâchée

Et l'abeille m'a piqué l'oreille
La coquine, la coquine
Et l'abeille m'a piqué l'oreille
La coquine n'avait pas sommeil

Le bourdon m'a piqué le menton
Le coquin, le coquin
Le bourdon m'a piqué le menton
Le coquin voulait un bonbon

Et l'oiseau m'a piqué le dos
Le coquin, le coquin
Et l'oiseau m'a piqué le dos
Le coquin était un moineau

------ LES APPLICATIONS DES PATAPONS ------
GooglePlay: https://play.google.com/store/apps/details?id=fr.comptinestv.mobile
iTunes: https://itunes.apple.com/fr/app/comptinestv/id839040159?l=fr&ls=1&mt=8

------ POUR SUIVRE L’ACTUALITÉ DES PATAPONS ------
Pour vous abonner: http://www.youtube.com/user/comptinestvfr?sub_confirmation=1
Facebook: https://www.facebook.com/LesPatapons
Twitter: https://twitter.com/LesPatapons

------ POUR RETROUVER LES MUSIQUES DES PATAPONS ------
Volume 1: https://www.amazon.fr/gp/product/B00OI1I7DO
Volume 2: https://www.amazon.fr/gp/product/B00VN9XWRK
Volume 3: https://www.amazon.fr/gp/product/B0173AS4CK
Volume 4: https://www.amazon.fr/gp/product/B01FXL3KA2

------ NOTRE PARTENAIRE ------
Radio Doudou: http://www.radiodoudou.com/",2d,111524,PT1M44S,0,True,221670,none,rectangular,2016-06-11T08:35:37.000Z,,"[""la fourmi m'a piqué la main"", 'comptine', 'parole', 'tv', 'chanson', 'bébé', 'petit', 'enfant', 'français', 'patapons']",La Fourmi m'a Piqué la Main,vLzBeJUuoMc,183408056,CDIQAA
false,10,UCrDkAvwZum-UTjHmzDI2iIw,officialpsy,5263218,xxNoneFoundxx,hd,"PSY - ‘I LUV IT’ M/V @ https://youtu.be/Xvjnoagk6GU
PSY - ‘New Face’ M/V @https://youtu.be/OwJPPaEyqhI

PSY - 8TH ALBUM '4X2=8' on iTunes @
https://smarturl.it/PSY_8thAlbum

PSY - GANGNAM STYLE(강남스타일) on iTunes @ http://smarturl.it/PsyGangnam

#PSY #싸이 #GANGNAMSTYLE #강남스타일

More about PSY@
http://www.psypark.com/
http://www.youtube.com/officialpsy
http://www.facebook.com/officialpsy
http://twitter.com/psy_oppa
https://www.instagram.com/42psy42
http://iTunes.com/PSY
http://sptfy.com/PSY
http://weibo.com/psyoppa
http://twitter.com/ygent_official",2d,2099396,PT4M13S,0,True,14870272,none,rectangular,2012-07-15T07:46:32.000Z,,"['PSY', '싸이', '강남스타일', '뮤직비디오', 'Music Video', 'Gangnam Style', 'KOREAN SINGER', 'KPOP', 'KOERAN WAVE', 'PSY 6甲', '6th Studio Album', '싸이6집', '육갑', 'YG Family', 'YG Entertainment']",PSY - GANGNAM STYLE(강남스타일) M/V,9bZkp7q19f0,3218414538,CDIQAA
false,10,UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO,234492,xxNoneFoundxx,hd,"Get “Wide Awake” from Katy Perry’s ‘Teenage Dream: The Complete Confection’: http://katy.to/TeenageDream
WITNESS: The Tour tickets available now! https://www.katyperry.com/tour

Directed by Tony ‘Truand’ Datis and produced by Dawn Rose & Danny Lockwood

Follow Katy:
http://www.katyperry.com
http://youtube.com/katyperry
http://twitter.com/katyperry
http://facebook.com/katyperry
http://instagram.com/katyperry

Lyrics:
I’m wide awake
I’m wide awake

I’m wide awake
Yeah, I was in the dark
I was falling hard
With an open heart
I’m wide awake
How did I read the stars so wrong

I’m wide awake
And now it’s clear to me
That everything you see
Ain’t always what it seems
I’m wide awake
Yeah, I was dreamin’ for so long

(Pre-Chorus)
I wish I knew then
What I know now
Wouldn’t dive in
Wouldn’t bow down
Gravity hurts
You made it so sweet
‘Til I woke up on
On the concrete

(Chorus)
Fallin’ from cloud 9
Crashin’ from the high
I’m lettin’ go tonight
Yeah I’m fallin’ from cloud 9
I’m wide awake
Not losing any sleep
I picked up every piece
And landed on my feet
I’m wide awake
Need nothing to complete myself, no

I’m wide awake
Yeah, I am born again
Out of the lion’s den
I don’t have to pretend
And it’s too late
The story’s over now, the end

(Pre-Chorus)
I wish I knew then
What I know now
Wouldn’t dive in
Wouldn’t bow down
Gravity hurts
You made it so sweet
‘Til I woke up on
On the concrete

(Chorus)
Fallin’ from cloud 9
(It was outta the blue, I’m)
Crashin’ from the high
I’m lettin’ go tonight
(Yeah, I’m lettin’ you go, I’m)
I’m fallin’ from cloud 9

(Bridge)
I’m wide awake
Thunder rumbling
Castles crumbling
I’m wide awake
I am trying to hold on
I’m wide awake
God knows that I tried
Seeing the bright side
I’m wide awake
I’m not blind anymore
I’m wide awake
I’m wide awake

(Chorus)
Yeah I’m fallin’ from cloud 9
(It was outta the blue, I’m)
Crashin’ from the high
You know I’m letting go tonight
(Yeah, I’m lettin’ you go, I’m)
I’m fallin’ from cloud 9
I’m wide awake
I’m wide awake
I’m wide awake
I’m wide awake
I’m wide awake

Music video by Katy Perry performing Wide Awake. (C) 2012 Capitol Records, LLC",2d,170969,PT4M37S,0,True,2934194,none,rectangular,2012-06-18T23:53:07.000Z,"{'allowed': ['JE', 'JO', 'JM', 'JP', 'CY', 'CX', 'CZ', 'RO', 'CR', 'CU', 'ML', 'CV', 'CI', 'CH', 'CK', 'ZA', 'CM', 'CL', 'CO', 'CN', 'CA', 'RS', 'CC', 'CD', 'CG', 'RU', 'KE', 'KI', 'KH', 'KM', 'DJ', 'KN', 'KP', 'KR', 'KW', 'KY', 'KZ', 'DM', 'SI', 'SH', 'SK', 'AX', 'SM', 'SL', 'SO', 'SN', 'SA', 'SC', 'SB', 'SE', 'SD', 'SG', 'SY', 'SZ', 'SR', 'ST', 'SV', 'HM', 'HN', 'HK', 'HT', 'HU', 'HR', 'PL', 'PN', 'AG', 'AE', 'AD', 'PE', 'PF', 'PG', 'AO', 'PA', 'AM', 'AL', 'AS', 'AR', 'AQ', 'AW', 'PY', 'AU', 'AT', 'PT', 'AZ', 'PW', 'PR', 'IO', 'IN', 'IM', 'IL', 'IE', 'ID', 'QA', 'IS', 'IR', 'IQ', 'ZW', 'LK', 'FO', 'FM', 'FJ', 'FK', 'YT', 'FR', 'YE', 'NO', 'NL', 'VU', 'NI', 'NF', 'NG', 'NE', 'NC', 'NA', 'VG', 'VE', 'NZ', 'VC', 'VN', 'NU', 'NR', 'NP', 'VI', 'GE', 'GD', 'GG', 'GF', 'GA', 'GB', 'GM', 'GN', 'GI', 'GH', 'GU', 'GT', 'GW', 'GQ', 'GP', 'GS', 'GR', 'IT', 'GY', 'OM', 'SJ', 'WS', 'WF', 'LR', 'DK', 'LT', 'LU', 'LV', 'DO', 'LY', 'DE', 'RW', 'LA', 'LB', 'LC', 'BS', 'LI', 'ZM', 'TZ', 'TR', 'TT', 'TV', 'TW', 'TH', 'TJ', 'TK', 'TL', 'TM', 'TN', 'TO', 'FI', 'TD', 'TF', 'TG', 'MW', 'MV', 'MU', 'TC', 'MS', 'MR', 'MQ', 'EH', 'EG', 'EE', 'EC', 'MZ', 'MY', 'MX', 'MG', 'ME', 'MD', 'MC', 'MA', 'MO', 'MN', 'ET', 'ES', 'ER', 'MH', 'UZ', 'UY', 'LS', 'US', 'PH', 'UM', 'MT', 'UG', 'RE', 'DZ', 'UA', 'BZ', 'BY', 'BR', 'CF', 'MP', 'BV', 'BW', 'BT', 'BG', 'BJ', 'BH', 'BI', 'BN', 'BO', 'PK', 'BB', 'BA', 'BF', 'AI', 'BD', 'BE']}","['Katy perry', 'wide awake', 'official', 'music video', 'wide awake video', 'teenage dream']",Katy Perry - Wide Awake (Official),k0BWlvnBmIE,857988394,CDIQAA
